Namespaces_or_individual_schema_IRI,Label
http://purl.org/dc/elements/1.1/title,2
http://purl.org/dc/terms/subject,2
http://purl.org/dc/elements/1.1/creator,1
http://purl.org/dc/terms/created,1
http://purl.org/dc/terms/modified,1
http://purl.org/dc/terms/publisher,1
http://purl.org/dc/terms/source,0
http://purl.org/dc/terms/rights,0
http://purl.org/dc/terms/license,0
http://www.w3.org/2002/07/owl#ObjectProperty,0
http://www.w3.org/2002/07/owl#DatatypeProperty,0
http://www.w3.org/2002/07/owl#Ontology,0
http://www.w3.org/2002/07/owl#NamedIndividual,0
http://bio2rdf.org/drugbank_vocabulary:drug,2
http://bio2rdf.org/drugbank_vocabulary:drugbank-id,0
http://bio2rdf.org/drugbank_vocabulary:name,2
http://bio2rdf.org/drugbank_vocabulary:cas-number,0
http://bio2rdf.org/drugbank_vocabulary:unii,0
http://bio2rdf.org/drugbank_vocabulary:drugbank-pharmacology-id,0
http://bio2rdf.org/drugbank_vocabulary:drug-interaction,2
http://bio2rdf.org/drugbank_vocabulary:target,2
http://www.w3.org/2002/07/owl#Class,0
http://www.w3.org/2001/XMLSchema#string,0
http://www.w3.org/2001/XMLSchema#integer,0
http://purl.org/dc/terms/title,2
http://www.w3.org/ns/prov#wasGeneratedBy,1
http://purl.org/dc/terms/description,2
http://purl.obolibrary.org/obo/CHEBI_59999,1
http://www.w3.org/ns/prov#qualifiedUsage,0
http://www.w3.org/ns/prov#atLocation,1
http://purl.obolibrary.org/obo/CHEBI_49669,1
http://dbpedia.org/ontology/thumbnail,0
http://dbpedia.org/ontology/wikiPageDisambiguates,0
http://dbpedia.org/ontology/wikiPageLength,0
http://dbpedia.org/ontology/wikiPageModificationDate,0
http://dbpedia.org/ontology/wikiPageVersion,0
http://dbpedia.org/ontology/wikiPageHistoryLink,0
http://dbpedia.org/ontology/wikiPageUsesTemplate,0
http://dbpedia.org/ontology/wikiPageInterLanguageLink,0
http://dbpedia.org/ontology/wikiPageCreationDate,0
http://www.w3.org/2002/07/owl#sameAs,1
http://dbpedia.org/ontology/wikiPageExternalLink,0
http://dbpedia.org/ontology/wikiPageID,0
http://dbpedia.org/ontology/wikiPageRevisionID,0
http://dbpedia.org/ontology/wikiPageWikiLink,0
http://xmlns.com/foaf/0.1/depiction,0
http://xmlns.com/foaf/0.1/isPrimaryTopicOf,2
http://xmlns.com/foaf/0.1/page,1
http://xmlns.com/foaf/0.1/thumbnail,0
http://www.w3.org/ns/prov#wasDerivedFrom,1
http://dbpedia.org/ontology/abstract,2
http://dbpedia.org/ontology/wikiPageRedirects,0
http://linkedgeodata.org/property,0
http://linkedgeodata.org/triplify,0
http://linkedgeodata.org/page,0
http://linkedgeodata.org/meta,0
http://linkedgeodata.org/routing,0
http://linkedgeodata.org/function,0
http://linkedgeodata.org/data,0
http://www.opengis.net/gml,0
http://www.w3.org/2003/01/geo/wgs84_pos#,0
http://www.opengis.net/gml#Point,1
http://www.w3.org/2000/01/rdf-schema#Resource,0
http://www.w3.org/2002/07/owl#Thing,0
http://www.geonames.org/ontology#name,2
http://www.w3.org/2003/01/geo/wgs84_pos#lat,1
http://www.w3.org/2003/01/geo/wgs84_pos#long,1
http://www.w3.org/2003/01/geo/wgs84_pos#lat_long,1
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,1
http://www.w3.org/2006/03/wn/wn20/instances/,0
http://www.w3.org/2006/03/wn/wn20/schema/,0
http://www.w3.org/ns/lemon/ontoles-enriched#,0
http://www.w3.org/ns/lemon/ontoles#,0
http://www.w3.org/ns/lemon/synsem#,0
http://www.w3.org/ns/lemon/lexinfo#,0
http://www.w3.org/ns/lemon/lime#,0
http://www.w3.org/ns/lemon/ontolex#,0
http://www.w3.org/2000/01/rdf-schema#comment,2
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,0
http://www.w3.org/2000/01/rdf-schema#label,2
http://www.w3.org/2000/01/rdf-schema#seeAlso,1
http://www.w3.org/2000/01/rdf-schema#subClassOf,0
http://www.w3.org/2000/01/rdf-schema#subPropertyOf,0
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,0
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,0
http://xmlns.com/foaf/0.1/name,2
http://dbpedia.org/resource/,0
http://dbpedia.org/property/,0
